Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Science Engineer,$140K - $225K (Employer est.),"Role Summary:
We are seeking an experienced Data Science Engineer to join our dynamic team. The ideal candidate will have a unique blend of technical expertise in both data engineering and data science, with a deep understanding of Azure cloud infrastructure and tools. You will play a pivotal role in developing, optimizing, and deploying machine learning models, data pipelines, and databases to facilitate the development of generative AI solutions that are scalable and integrated with existing enterprise systems.
As a Data Science Engineer, you will design and manage data pipelines and databases, develop and deploy scalable ML models, and collaborate with teams to integrate AI solutions into business processes. You will utilize data classification platforms and standard ML to continuously improve model performance. Stay informed about the latest in AI/ML advancements.",3.8,"Flowserve Corporation
3.8","Houston, TX",10000+ Employees,1997,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),-1
Data Scientist,$140K - $225K (Employer est.),"No Relocation Assistance Offered
# 154742 - Piscataway, New Jersey, United States
The data scientist is responsible for developing data-driven approaches and infrastructure to inform and accelerate product innovation, product design, and product development. This person will work with cross functional teams to gather, wrangle, cleanse, structure, and build models that are distributed to the greater R&D team and aligned with organizational goals. The role applies data analytics to enable new revenue-generating business models and improve underlying business processes for cost savings.

Responsbilities:
Write and implement custom code for web scraping, social media mining, and associated data ingestion and pre-processing",4.2,"Colgate-Palmolive
4.2","Piscataway, NJ",10000+ Employees,1806,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),-1
AI Software Solutions Engineer,$140K - $225K (Employer est.),"Job Description

Habana Labs is a group at Intel that focuses on developing disruptive solutions that will shape the future of AI and Deep Learning computing. Led by top technologists and successful entrepreneurs, our vision is to take AI processing from its current limits to the peak of its potential. We see challenges as a tremendous opportunity, we are focused on execution and determined to make our vision come true. We are looking for exceptionally smart people who believe that AI will change the world and would like to join our exciting journey. In this position you will work with an experienced software engineering team on developing software solutions based on deep learning frameworks and our proprietary software stack for hardware deep learning accelerators.


















The Data Center & Artificial Intelligence Group (DCAI) is at the heart of Intel’s transformation from a PC company to a company that runs the cloud and billions of smart, connected computing devices. The data center is the underpinning for every data-driven service, from artificial intelligence to 5G to high-performance computing, and DCG delivers the products and technologies—spanning software, processors, storage, I/O, and networking solutions—that fuel cloud, communications, enterprise, and government data centers around the world.

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

This role is available as a fully home-based and generally would require you to attend Intel sites only occasionally based on business need. This role may also be available as our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",4.1,"INTEL
4.1",Remote,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),-1
GCP Data Architect,$140K - $225K (Employer est.),"The primary role of the Data Architect is to support and expand the Data & Analytics platforms that process, store, organize the data critical for the data and analytics team. This role will have expertise in data movement and database technologies support data analytics and Machine Learning (ML) / Artificial Intelligence (AI) capabilities in the cloud. This person is able to identify performance bottle necks in complex enterprise applications and identify tuning opportunities
Responsibilities
· Possess deep functional and technical understanding of the Machine Learning technologies (Google’s Cloud Platform) and leverage it across Client’s large, complex and diverse landscape.
· Analyze performance and scalability characteristics to identify bottlenecks in large-scale distributed systems",-1,Reveille,Remote,-1,-1,-1,-1,-1,-1,-1
Senior Data Scientist,$140K - $225K (Employer est.),"Setting the Standard for Exceptional Care
For ninety years, Silver Hill Hospital has been at the forefront of psychiatry and leading the way in providing the best treatment for psychiatric illnesses and addiction. Our track record of success is based on a carefully executed team effort, one that uses an array of powerful tools, talent and knowledge to help people turn their lives around. We have opportunities available for individuals who have a passion to make a difference in the lives of our patients.
Senior Data Scientist
Silver Hill Hospital is seeking an experienced and detail-oriented Senior Data Scientist to join our Information Technology (IT) team. The Senior Data Scientist will be responsible for building and maintaining the organization's data assets and implementing data visualization strategies to ensure Silver Hill Hospital operates at peak efficiency. The ideal candidate will have a strong background in IT and data science, as well as excellent communication, organization, and analytical skills.",4.1,"Silver Hill Hospital
4.1","New Canaan, CT",201 to 500 Employees,1934,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),-1
Data Scientist,$140K - $225K (Employer est.),"Teraverde is seeking an experienced data scientist to augment our existing product development and analytics team. Our company is a recognized leader in the financial services/residential lending industry. As recognized thought leaders, our team is helping our clients transform their lending platforms. The residential lending space is stressed, so our clients are “all ears” to innovation and data-driven transformation.
Our executive team is highly experienced, well regarded and at the forefront of though leadership on transformation. We are seeking a self-starting, innovative data scientist who would thrive in our culture of “do whatever it takes” for success with a laser focus on customer satisfaction and speed to solution.
Duties and Responsibilities:
· Create new frameworks to collect data and performing data and error analysis to improve models.",-1,"TVMA, Inc.",Remote,-1,-1,-1,-1,-1,-1,-1
Artificial Intelligence Engineer,$140K - $225K (Employer est.),"NLT is seeking a candidate who's aligned with our end-user's mission to direct the strategy, deployment, and management of their technology with an unwavering commitment to IT excellence, efficiency, and value for culture, residents, businesses, and visitors.
The position functions as an Information Technology Specialist who serves as an AI Engineer responsible for establishing and maintaining a scalable infrastructure to support the deployment and operations of AI applications. This includes working with agencies to understand the required scale and expected usage of AI applications to support long term operations.
MAJOR DUTIES
Creates and maintains cloud infrastructure to support AI applications and tools.",4.9,"New Light Technologies, Inc.
4.9","Washington, DC",1 to 50 Employees,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD),-1,-1
"Senior Data Scientist, Federal Marketing",$140K - $225K (Employer est.),"Senior Data Scientist, Federal Marketing

Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand-new methodologies, tools, statistical methods, and models. What’s more, we are in collaboration with leading academics, industry experts, and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.
Join us to do the best work of your career and make a profound social impact as a Data Scientist on our Customer Growth Marketing Team in Round Rock, Texas, Hopkinton, Massachusetts, or Remote United States






R227317",4.2,"Dell
4.2","Round Rock, TX",10000+ Employees,1984,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
Senior Data Scientist,$140K - $225K (Employer est.),"At Fulcrum, we provide cutting-edge data science consulting and software solutions to help companies solve challenging business problems. Through the utilization of our innovative products and dedicated team, clients are able to operate more efficiently, manage risk, and make informed business decisions every day. Fulcrum Analytics has stood at the forefront of data, analytics, and innovative software for over 25 years, offering sophisticated solutions, groundbreaking technologies, and winning strategies that help companies achieve their targeted results.
Role Description:
The Senior Data Scientist role is expected to develop analytical, statistical, and machine learning solutions to client business problems. The Senior Data Scientist will have a number of responsibilities, including:
Extract and manipulate data from various sources (databases, files, APIs, etc.); requires knowledge of how to deal with the inherent structure of the data.",-1,Fulcrum Analytics,Remote,-1,-1,-1,-1,-1,-1,-1
Sr. Data Scientist,$140K - $225K (Employer est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Creating a life you love also means finding a career that celebrates the unique perspectives and experiences that you bring. As you read through the expectations of the position, consider how your skills and experiences may complement the responsibilities of the role. We encourage you to think through your relevant and transferable skills from prior experiences.

Not Specified
0",3.8,"Pinterest
3.8",Remote,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),-1
Data Scientist (Remote - US based),$140K - $225K (Employer est.),"Company Description

Due to the nature of this role, candidates must be geographically located, and authorized to work, in the United States.

Tidepool is a leading healthcare technology nonprofit company that is revolutionizing the way people with diabetes manage their condition. Our mission is to make diabetes data more accessible, actionable, and meaningful, empowering individuals and healthcare providers to make informed decisions and improve health outcomes. By leveraging cutting-edge technology and data-driven solutions, Tidepool is dedicated to making a positive impact on the lives of millions affected by diabetes.",-1,Tidepool,"Palo Alto, CA",1 to 50 Employees,2013,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $25 million (USD),-1
Sr. AI Developer / Machine Learning Engineer,$140K - $225K (Employer est.),"Location: Remote or Beavercreek, OH

HumanIT Solutions currently has an opening for an Sr. Artificial Intelligence (AI) Developer / Sr. Machine Learning Engineer, we are seeking a dedicated, talented, and experienced AI Developer to work as part of a leading-edge research and engineering, design and development team. HuanIT seeks mission and team-oriented individuals who enjoy working as an individual contributor in highly collaborative and interdisciplinary teams.

The primary effort the AI developer will be contributing to is the development of novel metrics for measuring the robustness of ML systems. The secondary effort will be designing, then comparing ML systems trained interactively to independently trained counterparts.

You will work as part of a research team to develop creative and innovative solutions for complex machine learning and artificial intelligence problems.

? Collect, process, and analyze various types of data for researching and developing analytics tools and approaches.

? Research, then implement machine learning algorithms, techniques, and other tools from academic literature.

? Work along with full-stack developers to build UIs, data visualizations, and model performance charts for downstream use",4.8,"HumanIT Solutions
4.8","Beavercreek, OH",51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),-1
Data Scientist,$140K - $225K (Employer est.),"We are seeking a Data Scientist to join our team and support ONI project initiatives. The successful candidate will be responsible for applying qualitative and quantitative methods to analyze and resolve analytical issues, as well as exploring opportunities for data acquisition and new uses for existing data. You will collaborate with government points of contact (POC) to perform data analyses, identify trends and patterns, and test hypotheses.
Responsibilities:
Apply qualitative and quantitative methods to analyze and resolve analytical issues in support of ONI project initiatives.
Research and identify opportunities for data acquisition and new data uses.
Collaborate with government POCs to perform exploratory and targeted data analyses, test hypotheses, and mine structured, semi-structured, and unstructured data.",-1,FullScope,"Suitland, MD",-1,-1,-1,-1,-1,-1,-1
Data Scientist,$140K - $225K (Employer est.),"New Light Technologies Inc. (NLT), a leading provider of integrated Data Science, Geospatial, Cloud, and Agile Software Engineering services based in Washington DC, is currently seeking a full-time Senior Data Scientist to join a team of talented technology professionals building the nation's most advanced data privacy protection solution!
The candidate will work with a world renowned interdisciplinary team to design, develop, and implement next-generation disclosure avoidance methods to protect private and personally identifiable information (PII) in large public-use datasets. This will involve the development and testing of novel differential privacy and post-processing algorithms that provably safeguard confidentiality in large datasets. This position requires a leader, innovator, and problem-solver with solid data science, statistical, and programming experience. This position also requires experience developing and designing new projects and solutions, coordinating projects between multiple teams with many stakeholders in a pro-active, enthusiastic communication style.",4.9,"New Light Technologies, Inc.
4.9",Remote,1 to 50 Employees,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD),-1,-1
Data Scientist (Elasticsearch),$140K - $225K (Employer est.),"Company Description

CGG is a pioneering Technology Company providing world class fully integrated Geoscience services within the global Energy sector. Created in 1931, our history tells the story of a profession conducted with passion and of an adventure stretching across five continents. We employ in excess of 3,000 people worldwide, who bring a unique blend of talent and energy through working together to deliver unrivalled innovative solutions to our customers.
Through our cutting-edge Technology in Geoscience and customer focus, we have achieved outstanding leadership with a strong focus on innovation and a commitment to delivering the best sustainable solutions to our clients' energy challenges.
We bring our clients a unique range of technologies and services, designed to generate stunning 3D images, geological data and remote sensing information of the Earth’s surface and subsurface structures.",3.6,"CGG
3.6","Houston, TX",1001 to 5000 Employees,1931,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),-1
"Associate Director, Data Science and Analytics",$140K - $225K (Employer est.),"Company Description

Hi there! We're Razorfish. We've been leading the marketing industry with our digital expertise since the start of the internet. But in 2020, we did a full reboot. What's different? It all starts with people. Weird, wonderful, complex people - with diverse backgrounds in strategy, creative and technology. But no matter how different we are, we all have one thing in common. We believe our differences are our strength. So, we push for inclusion, challenge convention, and bring in new perspectives, to inspire new ideas. Because when we connect by understanding what makes people different, we can create unforgettable experiences that enrich lives. Join us at razorfish.com.

Job Description",3.9,"Razorfish
3.9","Miami, FL",1001 to 5000 Employees,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1,-1
Data Scientist,$140K - $225K (Employer est.),"Role: Data Scientist
Location: Chicago OR Illinois (OR Willing to relocate to Chicago from other states in US)
Experience: 10 years
Key Role & Accountabilities: -
Design, develop, and implement machine learning models and algorithms to address business challenges
Collaborate with cross-functional teams to gather requirements, analyze data using machine learning techniques.
Apply statistical analysis to optimize processes and enhance model performance.
Solid background in NLP techniques and experience working with Transformer-based models like ChatGPT, Bert, and T5.
Strong proficiency in Python programming and familiarity with libraries like NumPy, Pandas, TensorFlow, and PyTorch,
Work with large datasets, ensuring data integrity, preprocessing, and feature engineering to create meaningful inputs for ML models.
Worked on different DL and RL frameworks and architectures.
Monitor and analyze the performance of deployed ML models, fine-tuning and optimizing them.
Strong expertise in SQL for data manipulation and retrieval.
Familiarity with cloud platforms like AWS, Azure, or Google Cloud Platform for deploying ML models is a plus.
Strong communication skills
Bachelor's or Master's degree in Computer Science, Engineering, Statistics, or a related field.
Experience or education in graph theory, algorithms, data structures, object-oriented programming, etc.",-1,Arise soft Group,"North Chicago, IL",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1,-1
Senior Data Scientist,$140K - $225K (Employer est.),"General information
All posting locations: Remote, Illinois, United States of America
Job Function: 16 - Digital
Date Published: 22-Aug-2023
Ref #: R-73768
Base Salary Range: $96,800.00 - $121,000.00
Target Total Cash Range: $121,000.00 - $151,250.00
Target total cash represents this role's annualized cash earning potential at target (base salary + target bonus). Target total cash is contingent on targeted company performance achievement and individual attainment of performance goals. Therefore, target total cash is not guaranteed earnings.",3.5,"Kraft Heinz Company
3.5",Illinois,10000+ Employees,2015,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
Data science Trainer,$140K - $225K (Employer est.),"1. The candidate's must have 1- 5 years of experience in data science.
2. Develop and deliver complete, end-to-end lessons about data science.
3. Must have sound knowledge of Python along with data science.
4. Passion for teaching and the ability to inspire and motivate learners.
5. Conduct live lectures and be comfortable using video conferencing platforms and other learning tools.
Job Type: Full-time
Salary: $15,000.00 - $25,000.00 per month",-1,ORKA Technologies,Remote,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$140K - $225K (Employer est.),"We are seeking a dedicated Data Scientist to join our team working on the Hospital Quality Reporting system for the Centers for Medicare and Medicaid Services (CMS). The ideal candidate will be an analytical thinker with a deep understanding of healthcare data and its intricacies. Your work will play a pivotal role in improving the quality and effectiveness of healthcare services provided to millions of beneficiaries.
Responsibilities
Analyze and interpret complex healthcare datasets to provide insights into hospital performance, patient outcomes, and care quality.
Develop, test, and deploy predictive models to identify areas of improvement and risk within hospital care.
Collaborate with cross-functional teams to integrate your findings and models into the Hospital Quality Reporting system.",3.8,"Bellese
3.8",United States,51 to 200 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,$150K - $200K (Employer est.),"Data Scientist to provide and oversee data creation, analysis, and dissemination efforts to support to Special operations.
Requires strong technical and computational skills - engineering, physics, mathematics, coupled with the ability to code design, develop, and deploy sophisticated applications using advanced unstructured and semi-structured data analysis techniques and utilizing high-performance computing environments
Job Responsibilities:
Support a team of data scientists and analytics support.
Must have experience with machine learning, algorithm analysis, and data clustering
Must have experience with software development, either an open-source enterprise software development stack (Java/Linux/Ruby/Python) or a Windows development stack (.NET, C#, C++)",-1,Pragmatics,"Columbia, MD",-1,-1,-1,-1,-1,-1,-1
Artificial Intelligence and Decision Engineer,$150K - $200K (Employer est.),"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.
None
Secret
Hybrid
Benefits information may be found here",3.0,"The MITRE Corporation
3.0","McLean, VA",5001 to 10000 Employees,1958,Nonprofit Organization,National Agencies,Government & Public Administration,$1 to $5 billion (USD),-1
Senior Data Analyst - Gaming,$150K - $200K (Employer est.),"Job Description: Senior Data Analyst
Location: Las Vegas | On-Site
We are looking for a Senior Data Analyst to be one of the on-boarding leads for OPTX's core product in the gaming industry. The Senior Data Analyst will have a direct reporting relationship to the Vice President of Data Engineering and will work closely with the Company’s operational team in supporting and executing technical goals. The Senior Data Analyst will part of a talented local team of on-boarding leads.
As part of the on-boarding team, you will be leading the data integration effort for new OPTX properties. You will be gathering data definitions and data requirements via email and virtual meetings. You will leading the data validation effort and be part of the pre-release testing.",-1,OPTX,"Las Vegas, NV",-1,-1,-1,-1,-1,-1,-1
Data Scientist (Business Analyst),$150K - $200K (Employer est.),"Great Innovations Data Scientist
Responsibilities -
Collecting data through means such as analyzing business results or by setting up and managing new studies
Transferring data into a new format to make it more appropriate for analysis
Creating new, experimental frameworks to collect data
Building tools to automate data collection
Searching through large data sets for usable information
Creating reports and presentations for business uses",-1,Great Innovations,"Miramar, FL",-1,-1,-1,-1,-1,-1,-1
Associate Data Scientist,$150K - $200K (Employer est.),"Job Summary:

Applies data analysis tools and techniques to provide insights and actionable recommendations for the business. Uses statistical modeling to make predictions about future outcomes in multiple scenarios to improve products & processes. May explain findings to business audience.

Job Responsibilities:
Responsible for applying data analysis tools and techniques to provide insights and actionable recommendations for the business. Uses statistical modeling to make predictions about future outcomes in multiple scenarios to improve products & processes. May explain findings to business audience.
Assists in executing statistical and mathematical analyses to support business decision making for multiple business functions.


About Walgreens and WBA

Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170-year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high-quality products and services in communities nationwide.




This job description is to be used as a guide for accomplishing Company and department objectives, and only covers the primary functions and responsibilities of the position. It is in no way to be construed as an all-encompassing list of duties

#LI-JW1",3.2,"WALGREENS
3.2","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD),-1
Junior Systems Engineer / Data Science Analyst,$150K - $200K (Employer est.),"Clearance: Current and active TS/SCI Clearance with CI
Polygraph Position Location: Springfield, VA or St. Louis, MO
No Telecommute: Work to be performed on the client site in SCIF
Position Type: Full time (40 hrs. a week)
Job Summary:
Seeking a motivated Junior Systems Engineer / Data Science Analyst to join our program working with the Data Engineering Team responsible for building the Metadata Application Profile (MAP) that aligns attributes from various Data Stores into a Search & Retrieval System, enabling discovery of imagery and data for analysis.",-1,Symbio Search,"Saint Louis, MO",-1,-1,-1,-1,-1,-1,-1
Data Architect,$150K - $200K (Employer est.),"InnoCape, LLC is seeking a Data Architect to join our team in Norfolk, VA working with our client, NATO ACT. The Data Architect will work within the Computer Information Systems (CIS) Core Services (CS) team reporting to the CS Programme Director. In functional terms, the contractor will work closely with ACT’s Data Science and Artificial Intelligence (AI) Section taking guidance and joining data forums and activities as necessary. This support is required to ensure that a solid base of specialist and corporate knowledge is available covering the extensive processes and procedures within the CS area. Thus, the team member will contribute to the development of the NATO Digital Backbone and NATO’s Data Exploitation initiative through:
a. Reviews of legacy data flows and models undertaking analysis to propose rationalisation of data in accordance with NATO policies and initiatives.
b. Elicits and documents artefacts including conducting impact assessments and developing trace matrices.",-1,"InnoCape, LLC","Norfolk, VA",-1,-1,-1,-1,-1,-1,-1
